method,question_field,negative_error_type,correct,total,accuracy
A1,Q1_fix_ident,over_assertion,0,86,0.0
A1,Q1_fix_ident,true_negative,67,67,1.0
A1,Q1_fix_ident,unknown_on_negative,0,50,0.0
A1,Q2_altitude_constraint,missing_prediction_status,0,3,0.0
A1,Q2_altitude_constraint,over_assertion,0,16,0.0
A1,Q2_altitude_constraint,true_negative,29,29,1.0
A1,Q3_turn,missing_prediction_status,0,167,0.0
A1,Q3_turn,over_assertion,0,9,0.0
A1,Q3_turn,true_negative,414,414,1.0
A1,Q4_course_or_radial,missing_prediction_status,0,142,0.0
A1,Q4_course_or_radial,over_assertion,0,1,0.0
A1,Q4_course_or_radial,true_negative,73,73,1.0
A1,Q4_course_or_radial,unknown_on_negative,0,17,0.0
A1,Q5_hold_params,missing_prediction_status,0,48,0.0
A1,Q5_hold_params,over_assertion,0,203,0.0
A1,Q5_hold_params,true_negative,193,193,1.0
A2,Q1_fix_ident,missing_prediction_status,0,23,0.0
A2,Q1_fix_ident,over_assertion,0,74,0.0
A2,Q1_fix_ident,true_negative,47,47,1.0
A2,Q1_fix_ident,unknown_on_negative,0,59,0.0
A2,Q2_altitude_constraint,missing_prediction_status,0,18,0.0
A2,Q2_altitude_constraint,over_assertion,0,9,0.0
A2,Q2_altitude_constraint,true_negative,21,21,1.0
A2,Q3_turn,missing_prediction_status,0,236,0.0
A2,Q3_turn,over_assertion,0,4,0.0
A2,Q3_turn,true_negative,350,350,1.0
A2,Q4_course_or_radial,missing_prediction_status,0,162,0.0
A2,Q4_course_or_radial,over_assertion,0,2,0.0
A2,Q4_course_or_radial,true_negative,64,64,1.0
A2,Q4_course_or_radial,unknown_on_negative,0,5,0.0
A2,Q5_hold_params,missing_prediction_status,0,117,0.0
A2,Q5_hold_params,over_assertion,0,173,0.0
A2,Q5_hold_params,true_negative,154,154,1.0
B1,Q1_fix_ident,over_assertion,0,138,0.0
B1,Q1_fix_ident,true_negative,48,48,1.0
B1,Q1_fix_ident,unknown_on_negative,0,17,0.0
B1,Q2_altitude_constraint,other_negative_error,0,28,0.0
B1,Q2_altitude_constraint,over_assertion,0,13,0.0
B1,Q2_altitude_constraint,true_negative,6,6,1.0
B1,Q2_altitude_constraint,unknown_on_negative,0,1,0.0
B1,Q3_turn,missing_prediction_status,0,181,0.0
B1,Q3_turn,other_negative_error,0,26,0.0
B1,Q3_turn,over_assertion,0,23,0.0
B1,Q3_turn,true_negative,357,357,1.0
B1,Q3_turn,unknown_on_negative,0,3,0.0
B1,Q4_course_or_radial,missing_prediction_status,0,179,0.0
B1,Q4_course_or_radial,other_negative_error,0,20,0.0
B1,Q4_course_or_radial,over_assertion,0,14,0.0
B1,Q4_course_or_radial,true_negative,2,2,1.0
B1,Q4_course_or_radial,unknown_on_negative,0,18,0.0
B1,Q5_hold_params,missing_prediction_status,0,12,0.0
B1,Q5_hold_params,other_negative_error,0,2,0.0
B1,Q5_hold_params,over_assertion,0,147,0.0
B1,Q5_hold_params,true_negative,261,261,1.0
B1,Q5_hold_params,unknown_on_negative,0,22,0.0
B1_prime,Q1_fix_ident,over_assertion,0,65,0.0
B1_prime,Q1_fix_ident,true_negative,73,73,1.0
B1_prime,Q1_fix_ident,unknown_on_negative,0,65,0.0
B1_prime,Q2_altitude_constraint,other_negative_error,0,2,0.0
B1_prime,Q2_altitude_constraint,over_assertion,0,16,0.0
B1_prime,Q2_altitude_constraint,true_negative,6,6,1.0
B1_prime,Q2_altitude_constraint,unknown_on_negative,0,24,0.0
B1_prime,Q3_turn,missing_prediction_status,0,181,0.0
B1_prime,Q3_turn,over_assertion,0,16,0.0
B1_prime,Q3_turn,true_negative,356,356,1.0
B1_prime,Q3_turn,unknown_on_negative,0,37,0.0
B1_prime,Q4_course_or_radial,missing_prediction_status,0,176,0.0
B1_prime,Q4_course_or_radial,other_negative_error,0,1,0.0
B1_prime,Q4_course_or_radial,over_assertion,0,32,0.0
B1_prime,Q4_course_or_radial,unknown_on_negative,0,24,0.0
B1_prime,Q5_hold_params,missing_prediction_status,0,11,0.0
B1_prime,Q5_hold_params,other_negative_error,0,1,0.0
B1_prime,Q5_hold_params,over_assertion,0,95,0.0
B1_prime,Q5_hold_params,true_negative,264,264,1.0
B1_prime,Q5_hold_params,unknown_on_negative,0,73,0.0
B1_prime_link,Q1_fix_ident,missing_prediction_status,0,15,0.0
B1_prime_link,Q1_fix_ident,other_negative_error,0,16,0.0
