variant,method,chart_id,prediction_path,prediction_exists,schema_valid,scored,correct,total,accuracy,failure_stage,failure_error
V5_plan_detail_no_ma,D_SFT,KABE_I06,formal_runs/experiment4/experiment4_source_ablation_formal200_20260503_r1\runs\formal_eval200\V5_plan_detail_no_ma\D_SFT\predictions\V5_plan_detail_no_ma_D_SFT\canonical_json\KABE_I06.json,True,True,True,9,19,0.47368421052631576,,
V5_plan_detail_no_ma,D_SFT,KALS_I02,formal_runs/experiment4/experiment4_source_ablation_formal200_20260503_r1\runs\formal_eval200\V5_plan_detail_no_ma\D_SFT\predictions\V5_plan_detail_no_ma_D_SFT\canonical_json\KALS_I02.json,True,True,True,11,19,0.5789473684210527,,
V5_plan_detail_no_ma,D_SFT,KAMA_I04,formal_runs/experiment4/experiment4_source_ablation_formal200_20260503_r1\runs\formal_eval200\V5_plan_detail_no_ma\D_SFT\predictions\V5_plan_detail_no_ma_D_SFT\canonical_json\KAMA_I04.json,True,True,True,15,19,0.7894736842105263,,
V5_plan_detail_no_ma,D_SFT,KAPC_I01L,formal_runs/experiment4/experiment4_source_ablation_formal200_20260503_r1\runs\formal_eval200\V5_plan_detail_no_ma\D_SFT\predictions\V5_plan_detail_no_ma_D_SFT\canonical_json\KAPC_I01L.json,True,True,True,10,25,0.4,,
V5_plan_detail_no_ma,D_SFT,KATL_I09R,formal_runs/experiment4/experiment4_source_ablation_formal200_20260503_r1\runs\formal_eval200\V5_plan_detail_no_ma\D_SFT\predictions\V5_plan_detail_no_ma_D_SFT\canonical_json\KATL_I09R.json,True,True,True,8,19,0.42105263157894735,,
V5_plan_detail_no_ma,D_SFT,KAUS_I18L,formal_runs/experiment4/experiment4_source_ablation_formal200_20260503_r1\runs\formal_eval200\V5_plan_detail_no_ma\D_SFT\predictions\V5_plan_detail_no_ma_D_SFT\canonical_json\KAUS_I18L.json,True,True,True,9,25,0.36,,
V5_plan_detail_no_ma,D_SFT,KBUY_I06-Z,formal_runs/experiment4/experiment4_source_ablation_formal200_20260503_r1\runs\formal_eval200\V5_plan_detail_no_ma\D_SFT\predictions\V5_plan_detail_no_ma_D_SFT\canonical_json\KBUY_I06-Z.json,True,True,True,12,19,0.631578947368421,,
V5_plan_detail_no_ma,D_SFT,KBWG_I03-Y,formal_runs/experiment4/experiment4_source_ablation_formal200_20260503_r1\runs\formal_eval200\V5_plan_detail_no_ma\D_SFT\predictions\V5_plan_detail_no_ma_D_SFT\canonical_json\KBWG_I03-Y.json,True,True,True,15,19,0.7894736842105263,,
V5_plan_detail_no_ma,D_SFT,KCMH_I10R,formal_runs/experiment4/experiment4_source_ablation_formal200_20260503_r1\runs\formal_eval200\V5_plan_detail_no_ma\D_SFT\predictions\V5_plan_detail_no_ma_D_SFT\canonical_json\KCMH_I10R.json,True,True,True,12,19,0.631578947368421,,
V5_plan_detail_no_ma,D_SFT,KAXH_L09,formal_runs/experiment4/experiment4_source_ablation_formal200_20260503_r1\runs\formal_eval200\V5_plan_detail_no_ma\D_SFT\predictions\V5_plan_detail_no_ma_D_SFT\canonical_json\KAXH_L09.json,False,False,False,,,,missing_prediction,prediction json does not exist
