variant,method,chart_id,prediction_path,prediction_exists,schema_valid,scored,correct,total,accuracy,failure_stage,failure_error
V3_plan_view_only,D1,KABE_I06,formal_runs/experiment4/experiment4_source_ablation_formal200_20260503_r1\runs\formal_eval200\V3_plan_view_only\D1\canonical_json\KABE_I06.json,True,True,True,10,19,0.5263157894736842,,
V3_plan_view_only,D1,KALS_I02,formal_runs/experiment4/experiment4_source_ablation_formal200_20260503_r1\runs\formal_eval200\V3_plan_view_only\D1\canonical_json\KALS_I02.json,True,True,True,14,19,0.7368421052631579,,
V3_plan_view_only,D1,KAMA_I04,formal_runs/experiment4/experiment4_source_ablation_formal200_20260503_r1\runs\formal_eval200\V3_plan_view_only\D1\canonical_json\KAMA_I04.json,True,True,True,12,19,0.631578947368421,,
V3_plan_view_only,D1,KAPC_I01L,formal_runs/experiment4/experiment4_source_ablation_formal200_20260503_r1\runs\formal_eval200\V3_plan_view_only\D1\canonical_json\KAPC_I01L.json,True,True,True,9,25,0.36,,
V3_plan_view_only,D1,KATL_I09R,formal_runs/experiment4/experiment4_source_ablation_formal200_20260503_r1\runs\formal_eval200\V3_plan_view_only\D1\canonical_json\KATL_I09R.json,True,True,True,9,19,0.47368421052631576,,
V3_plan_view_only,D1,KAUS_I18L,formal_runs/experiment4/experiment4_source_ablation_formal200_20260503_r1\runs\formal_eval200\V3_plan_view_only\D1\canonical_json\KAUS_I18L.json,True,True,True,8,25,0.32,,
V3_plan_view_only,D1,KBUY_I06-Z,formal_runs/experiment4/experiment4_source_ablation_formal200_20260503_r1\runs\formal_eval200\V3_plan_view_only\D1\canonical_json\KBUY_I06-Z.json,True,True,True,11,19,0.5789473684210527,,
V3_plan_view_only,D1,KBWG_I03-Y,formal_runs/experiment4/experiment4_source_ablation_formal200_20260503_r1\runs\formal_eval200\V3_plan_view_only\D1\canonical_json\KBWG_I03-Y.json,True,True,True,11,19,0.5789473684210527,,
V3_plan_view_only,D1,KCMH_I10R,formal_runs/experiment4/experiment4_source_ablation_formal200_20260503_r1\runs\formal_eval200\V3_plan_view_only\D1\canonical_json\KCMH_I10R.json,True,True,True,11,19,0.5789473684210527,,
V3_plan_view_only,D1,KAXH_L09,formal_runs/experiment4/experiment4_source_ablation_formal200_20260503_r1\runs\formal_eval200\V3_plan_view_only\D1\canonical_json\KAXH_L09.json,True,True,True,9,13,0.6923076923076923,,
V3_plan_view_only,D1,KBDL_L33,formal_runs/experiment4/experiment4_source_ablation_formal200_20260503_r1\runs\formal_eval200\V3_plan_view_only\D1\canonical_json\KBDL_L33.json,True,True,True,11,19,0.5789473684210527,,
V3_plan_view_only,D1,KBFF_L12,formal_runs/experiment4/experiment4_source_ablation_formal200_20260503_r1\runs\formal_eval200\V3_plan_view_only\D1\canonical_json\KBFF_L12.json,True,True,True,11,19,0.5789473684210527,,
V3_plan_view_only,D1,KBOS_L15R,formal_runs/experiment4/experiment4_source_ablation_formal200_20260503_r1\runs\formal_eval200\V3_plan_view_only\D1\canonical_json\KBOS_L15R.json,True,True,True,4,13,0.3076923076923077,,
V3_plan_view_only,D1,KBUR_L08-Z,formal_runs/experiment4/experiment4_source_ablation_formal200_20260503_r1\runs\formal_eval200\V3_plan_view_only\D1\canonical_json\KBUR_L08-Z.json,True,True,True,7,25,0.28,,
V3_plan_view_only,D1,KCEC_L12,formal_runs/experiment4/experiment4_source_ablation_formal200_20260503_r1\runs\formal_eval200\V3_plan_view_only\D1\canonical_json\KCEC_L12.json,True,True,True,9,19,0.47368421052631576,,
