method,chart_id,field,target_scope,correct,error_type,comparison_policy,pred_key,pred_value,pred_has_decimal,target_key,target_value_raw_424,target_has_decimal,pred_round_equals_target_round,pred_exact_equals_target,relation,pred_json,target_json
A1,KABE_I06,leg_2.Q4_course_or_radial,Q4_angle,False,round_equivalent_but_other_mismatch,degree_display_rounding,radial_deg,243.0,False,radial_deg,243.1,True,True,False,same_key,"{""status"":""present"",""value"":{""direction"":""outbound"",""navaid"":""STW"",""radial_deg"":243.0,""type"":""navaid_radial""}}","{""status"":""present"",""value"":{""direction"":""inbound"",""navaid"":""STW"",""radial_deg"":243.1,""type"":""navaid_radial""}}"
A1,KALS_I02,leg_3.Q4_course_or_radial,Q4_not_applicable,False,target_not_present_but_pred_present,exact_status_value,radial_deg,296.0,False,,,,,,target_has_no_degree_value,"{""status"":""present"",""value"":{""direction"":""outbound"",""navaid"":""INT"",""radial_deg"":296.0,""type"":""navaid_radial""}}","{""status"":""not_applicable"",""value"":null}"
A1,KAMA_I04,leg_2.Q4_course_or_radial,Q4_angle,False,round_equivalent_but_other_mismatch,degree_display_rounding,radial_deg,118.0,False,radial_deg,118.3,True,True,False,same_key,"{""status"":""present"",""value"":{""direction"":""outbound"",""navaid"":""AND"",""radial_deg"":118.0,""type"":""navaid_radial""}}","{""status"":""present"",""value"":{""direction"":""inbound"",""navaid"":""PNH"",""radial_deg"":118.3,""type"":""navaid_radial""}}"
A1,KATL_I09R,leg_1.Q4_course_or_radial,Q4_angle,True,correct,degree_display_rounding,course_deg,100.0,False,course_deg,100.0,False,True,True,same_key,"{""status"":""present"",""value"":{""course_deg"":100.0,""type"":""course_deg""}}","{""status"":""present"",""value"":{""course_deg"":100.0,""type"":""course_deg""}}"
A1,KAUS_I18L,leg_2.Q4_course_or_radial,Q4_angle,True,correct,degree_display_rounding,course_deg,40.0,False,course_deg,40.0,False,True,True,same_key,"{""status"":""present"",""value"":{""course_deg"":40.0,""type"":""course_deg""}}","{""status"":""present"",""value"":{""course_deg"":40.0,""type"":""course_deg""}}"
A1,KBUR_L08-Z,leg_2.Q4_course_or_radial,Q4_angle,True,correct,degree_display_rounding,course_deg,210.0,False,course_deg,210.0,False,True,True,same_key,"{""status"":""present"",""value"":{""course_deg"":210.0,""type"":""course_deg""}}","{""status"":""present"",""value"":{""course_deg"":210.0,""type"":""course_deg""}}"
A1,KBWI_L15L,leg_2.Q4_course_or_radial,Q4_angle,False,round_equivalent_but_other_mismatch,degree_display_rounding,radial_deg,153.0,False,radial_deg,152.9,True,True,False,same_key,"{""status"":""present"",""value"":{""direction"":""outbound"",""navaid"":""BAL"",""radial_deg"":153.0,""type"":""navaid_radial""}}","{""status"":""present"",""value"":{""direction"":""inbound"",""navaid"":""BAL"",""radial_deg"":152.9,""type"":""navaid_radial""}}"
A1,KCJR_L04,leg_2.Q4_course_or_radial,Q4_angle,True,correct,degree_display_rounding,course_deg,180.0,False,course_deg,180.0,False,True,True,same_key,"{""status"":""present"",""value"":{""course_deg"":180.0,""type"":""course_deg""}}","{""status"":""present"",""value"":{""course_deg"":180.0,""type"":""course_deg""}}"
A2,KABE_I06,leg_2.Q4_course_or_radial,Q4_angle,False,round_equivalent_but_other_mismatch,degree_display_rounding,radial_deg,243.0,False,radial_deg,243.1,True,True,False,same_key,"{""status"":""present"",""value"":{""direction"":""outbound"",""navaid"":""STW"",""radial_deg"":243.0,""type"":""navaid_radial""}}","{""status"":""present"",""value"":{""direction"":""inbound"",""navaid"":""STW"",""radial_deg"":243.1,""type"":""navaid_radial""}}"
A2,KATL_I09R,leg_1.Q4_course_or_radial,Q4_angle,True,correct,degree_display_rounding,course_deg,100.0,False,course_deg,100.0,False,True,True,same_key,"{""status"":""present"",""value"":{""course_deg"":100.0,""type"":""course_deg""}}","{""status"":""present"",""value"":{""course_deg"":100.0,""type"":""course_deg""}}"
A2,KATL_I09R,leg_3.Q4_course_or_radial,Q4_not_applicable,False,target_not_present_but_pred_present,exact_status_value,radial_deg,235.0,False,,,,,,target_has_no_degree_value,"{""status"":""present"",""value"":{""direction"":""outbound"",""navaid"":""FUN"",""radial_deg"":235.0,""type"":""navaid_radial""}}","{""status"":""not_applicable"",""value"":null}"
A2,KAWM_L17,leg_2.Q4_course_or_radial,Q4_angle,False,round_equivalent_but_other_mismatch,degree_display_rounding,radial_deg,147.0,False,radial_deg,147.0,False,True,True,same_key,"{""status"":""present"",""value"":{""direction"":""outbound"",""navaid"":""OME"",""radial_deg"":147.0,""type"":""navaid_radial""}}","{""status"":""present"",""value"":{""direction"":""inbound"",""navaid"":""GQE"",""radial_deg"":147.0,""type"":""navaid_radial""}}"
A2,KBWI_L15L,leg_2.Q4_course_or_radial,Q4_angle,False,round_equivalent_but_other_mismatch,degree_display_rounding,radial_deg,153.0,False,radial_deg,152.9,True,True,False,same_key,"{""status"":""present"",""value"":{""direction"":""outbound"",""navaid"":""BAL"",""radial_deg"":153.0,""type"":""navaid_radial""}}","{""status"":""present"",""value"":{""direction"":""inbound"",""navaid"":""BAL"",""radial_deg"":152.9,""type"":""navaid_radial""}}"
A2,KCJR_L04,leg_2.Q4_course_or_radial,Q4_angle,True,correct,degree_display_rounding,course_deg,180.0,False,course_deg,180.0,False,True,True,same_key,"{""status"":""present"",""value"":{""course_deg"":180.0,""type"":""course_deg""}}","{""status"":""present"",""value"":{""course_deg"":180.0,""type"":""course_deg""}}"
