method,field_family,negative_error_type,correct,total,accuracy
A1,course / radial,missing_prediction_status,0,142,0.0
A1,course / radial,over_assertion,0,1,0.0
A1,course / radial,true_negative,73,73,1.0
A1,course / radial,unknown_on_negative,0,17,0.0
A1,fix / navaid,over_assertion,0,86,0.0
A1,fix / navaid,true_negative,67,67,1.0
A1,fix / navaid,unknown_on_negative,0,50,0.0
A1,holding,missing_prediction_status,0,48,0.0
A1,holding,over_assertion,0,203,0.0
A1,holding,true_negative,193,193,1.0
A1,转弯,missing_prediction_status,0,167,0.0
A1,转弯,over_assertion,0,9,0.0
A1,转弯,true_negative,414,414,1.0
A1,高度,missing_prediction_status,0,3,0.0
A1,高度,over_assertion,0,16,0.0
A1,高度,true_negative,29,29,1.0
A2,course / radial,missing_prediction_status,0,162,0.0
A2,course / radial,over_assertion,0,2,0.0
A2,course / radial,true_negative,64,64,1.0
A2,course / radial,unknown_on_negative,0,5,0.0
A2,fix / navaid,missing_prediction_status,0,23,0.0
A2,fix / navaid,over_assertion,0,74,0.0
A2,fix / navaid,true_negative,47,47,1.0
A2,fix / navaid,unknown_on_negative,0,59,0.0
A2,holding,missing_prediction_status,0,117,0.0
A2,holding,over_assertion,0,173,0.0
A2,holding,true_negative,154,154,1.0
A2,转弯,missing_prediction_status,0,236,0.0
A2,转弯,over_assertion,0,4,0.0
A2,转弯,true_negative,350,350,1.0
A2,高度,missing_prediction_status,0,18,0.0
A2,高度,over_assertion,0,9,0.0
A2,高度,true_negative,21,21,1.0
B1,course / radial,missing_prediction_status,0,179,0.0
B1,course / radial,other_negative_error,0,20,0.0
B1,course / radial,over_assertion,0,14,0.0
B1,course / radial,true_negative,2,2,1.0
B1,course / radial,unknown_on_negative,0,18,0.0
B1,fix / navaid,over_assertion,0,138,0.0
B1,fix / navaid,true_negative,48,48,1.0
B1,fix / navaid,unknown_on_negative,0,17,0.0
B1,holding,missing_prediction_status,0,12,0.0
B1,holding,other_negative_error,0,2,0.0
B1,holding,over_assertion,0,147,0.0
B1,holding,true_negative,261,261,1.0
B1,holding,unknown_on_negative,0,22,0.0
B1,转弯,missing_prediction_status,0,181,0.0
B1,转弯,other_negative_error,0,26,0.0
B1,转弯,over_assertion,0,23,0.0
B1,转弯,true_negative,357,357,1.0
B1,转弯,unknown_on_negative,0,3,0.0
B1,高度,other_negative_error,0,28,0.0
B1,高度,over_assertion,0,13,0.0
B1,高度,true_negative,6,6,1.0
B1,高度,unknown_on_negative,0,1,0.0
B1_prime,course / radial,missing_prediction_status,0,176,0.0
B1_prime,course / radial,other_negative_error,0,1,0.0
B1_prime,course / radial,over_assertion,0,32,0.0
B1_prime,course / radial,unknown_on_negative,0,24,0.0
B1_prime,fix / navaid,over_assertion,0,65,0.0
B1_prime,fix / navaid,true_negative,73,73,1.0
B1_prime,fix / navaid,unknown_on_negative,0,65,0.0
B1_prime,holding,missing_prediction_status,0,11,0.0
B1_prime,holding,other_negative_error,0,1,0.0
B1_prime,holding,over_assertion,0,95,0.0
B1_prime,holding,true_negative,264,264,1.0
B1_prime,holding,unknown_on_negative,0,73,0.0
B1_prime,转弯,missing_prediction_status,0,181,0.0
B1_prime,转弯,over_assertion,0,16,0.0
B1_prime,转弯,true_negative,356,356,1.0
B1_prime,转弯,unknown_on_negative,0,37,0.0
B1_prime,高度,other_negative_error,0,2,0.0
B1_prime,高度,over_assertion,0,16,0.0
B1_prime,高度,true_negative,6,6,1.0
B1_prime,高度,unknown_on_negative,0,24,0.0
B1_prime_link,course / radial,missing_prediction_status,0,183,0.0
B1_prime_link,course / radial,other_negative_error,0,23,0.0
B1_prime_link,course / radial,true_negative,5,5,1.0
