method,chart_id,field,question_field,leg_index,correct,error_type,comparison_policy,pred_json,target_json
A1,KAAA_R03,leg_1.Q4_course_or_radial,Q4_course_or_radial,1,False,status_unknown,degree_display_rounding,"{""status"": ""unknown"", ""value"": null}","{""status"": ""present"", ""value"": {""course_deg"": 35.3, ""type"": ""course_deg""}}"
A1,KAAA_R03,leg_2.Q4_course_or_radial,Q4_course_or_radial,2,False,status_not_applicable,exact_status_value,"{""status"": ""not_applicable"", ""value"": null}","{""status"": ""present"", ""value"": {""type"": ""direct""}}"
A1,KAAA_R03,leg_2.Q5_hold_params,Q5_hold_params,2,False,target_not_present_but_pred_present,exact_status_value,"{""status"": ""present"", ""value"": {""inbound_course_deg"": null, ""leg_distance_nm"": null, ""leg_time_min"": 1.0, ""turn"": ""RIGHT""}}","{""status"": ""not_applicable"", ""value"": null}"
A1,KAAA_R03,leg_3.Q4_course_or_radial,Q4_course_or_radial,3,False,missing_leg_or_field,exact_status_value,null,"{""status"": ""not_applicable"", ""value"": null}"
A1,KAAA_R03,leg_3.Q5_hold_params,Q5_hold_params,3,False,missing_leg_or_field,degree_display_rounding,null,"{""status"": ""present"", ""value"": {""inbound_course_deg"": 215.4, ""leg_distance_nm"": 4.0, ""leg_time_min"": null, ""turn"": ""RIGHT""}}"
A1,KAAA_R21,leg_1.Q4_course_or_radial,Q4_course_or_radial,1,False,status_not_applicable,degree_display_rounding,"{""status"": ""not_applicable"", ""value"": null}","{""status"": ""present"", ""value"": {""course_deg"": 215.3, ""type"": ""course_deg""}}"
A1,KAAA_R21,leg_1.Q5_hold_params,Q5_hold_params,1,False,target_not_present_but_pred_present,exact_status_value,"{""status"": ""present"", ""value"": {""inbound_course_deg"": null, ""leg_distance_nm"": null, ""leg_time_min"": 1.0, ""turn"": ""RIGHT""}}","{""status"": ""not_applicable"", ""value"": null}"
A1,KAAA_R21,leg_2.Q4_course_or_radial,Q4_course_or_radial,2,False,missing_leg_or_field,exact_status_value,null,"{""status"": ""present"", ""value"": {""type"": ""direct""}}"
A1,KAAA_R21,leg_3.Q4_course_or_radial,Q4_course_or_radial,3,False,missing_leg_or_field,exact_status_value,null,"{""status"": ""not_applicable"", ""value"": null}"
A1,KAAA_R21,leg_3.Q5_hold_params,Q5_hold_params,3,False,missing_leg_or_field,degree_display_rounding,null,"{""status"": ""present"", ""value"": {""inbound_course_deg"": 215.4, ""leg_distance_nm"": 4.0, ""leg_time_min"": null, ""turn"": ""RIGHT""}}"
A1,KAAF_R06,leg_1.Q4_course_or_radial,Q4_course_or_radial,1,False,status_unknown,degree_display_rounding,"{""status"": ""unknown"", ""value"": null}","{""status"": ""present"", ""value"": {""course_deg"": 63.3, ""type"": ""course_deg""}}"
A1,KAAF_R06,leg_2.Q4_course_or_radial,Q4_course_or_radial,2,False,status_not_applicable,exact_status_value,"{""status"": ""not_applicable"", ""value"": null}","{""status"": ""present"", ""value"": {""type"": ""direct""}}"
A1,KAAF_R06,leg_2.Q5_hold_params,Q5_hold_params,2,False,target_not_present_but_pred_present,exact_status_value,"{""status"": ""present"", ""value"": {""inbound_course_deg"": null, ""leg_distance_nm"": null, ""leg_time_min"": 1.0, ""turn"": ""RIGHT""}}","{""status"": ""not_applicable"", ""value"": null}"
A1,KAAF_R06,leg_3.Q4_course_or_radial,Q4_course_or_radial,3,False,missing_leg_or_field,exact_status_value,null,"{""status"": ""not_applicable"", ""value"": null}"
A1,KAAF_R06,leg_3.Q5_hold_params,Q5_hold_params,3,False,missing_leg_or_field,degree_display_rounding,null,"{""status"": ""present"", ""value"": {""inbound_course_deg"": 243.4, ""leg_distance_nm"": 4.0, ""leg_time_min"": null, ""turn"": ""RIGHT""}}"
A1,KAAF_R14,leg_1.Q4_course_or_radial,Q4_course_or_radial,1,False,status_unknown,degree_display_rounding,"{""status"": ""unknown"", ""value"": null}","{""status"": ""present"", ""value"": {""course_deg"": 138.3, ""type"": ""course_deg""}}"
A1,KAAF_R14,leg_2.Q4_course_or_radial,Q4_course_or_radial,2,True,correct,exact_status_value,"{""status"": ""present"", ""value"": {""type"": ""direct""}}","{""status"": ""present"", ""value"": {""type"": ""direct""}}"
A1,KAAF_R14,leg_3.Q4_course_or_radial,Q4_course_or_radial,3,True,correct,exact_status_value,"{""status"": ""not_applicable"", ""value"": null}","{""status"": ""not_applicable"", ""value"": null}"
A1,KAAF_R14,leg_3.Q5_hold_params,Q5_hold_params,3,False,missing_inbound_course_deg,degree_display_rounding,"{""status"": ""present"", ""value"": {""inbound_course_deg"": null, ""leg_distance_nm"": null, ""leg_time_min"": 1.0, ""turn"": ""RIGHT""}}","{""status"": ""present"", ""value"": {""inbound_course_deg"": 243.4, ""leg_distance_nm"": 4.0, ""leg_time_min"": null, ""turn"": ""RIGHT""}}"
A1,KAAF_R24,leg_1.Q4_course_or_radial,Q4_course_or_radial,1,False,status_unknown,degree_display_rounding,"{""status"": ""unknown"", ""value"": null}","{""status"": ""present"", ""value"": {""course_deg"": 243.3, ""type"": ""course_deg""}}"
