method,semantic_overlay,correct,total,accuracy
A1,424编码语义字段,314,2014,0.15590863952333664
A1,424编码语义字段;区域映射补充,1,2,0.5
A1,424编码语义字段;同一航段直接飞向补充,20,183,0.1092896174863388
A1,none,25,135,0.18518518518518517
A2,424编码语义字段,206,2014,0.10228401191658391
A2,424编码语义字段;区域映射补充,1,2,0.5
A2,424编码语义字段;同一航段直接飞向补充,13,183,0.07103825136612021
A2,none,6,135,0.044444444444444446
B1,424编码语义字段,311,2014,0.15441906653426019
B1,424编码语义字段;区域映射补充,2,2,1.0
B1,424编码语义字段;同一航段直接飞向补充,41,183,0.22404371584699453
B1,none,51,135,0.37777777777777777
B1_prime,424编码语义字段,424,2014,0.21052631578947367
B1_prime,424编码语义字段;区域映射补充,1,2,0.5
B1_prime,424编码语义字段;同一航段直接飞向补充,107,183,0.5846994535519126
B1_prime,none,51,135,0.37777777777777777
B1_prime_link,424编码语义字段,235,2014,0.1166832174776564
B1_prime_link,424编码语义字段;区域映射补充,0,2,0.0
B1_prime_link,424编码语义字段;同一航段直接飞向补充,0,183,0.0
B1_prime_link,none,39,135,0.28888888888888886
C1,424编码语义字段,503,2014,0.24975173783515392
C1,424编码语义字段;区域映射补充,1,2,0.5
C1,424编码语义字段;同一航段直接飞向补充,38,183,0.20765027322404372
C1,none,46,135,0.34074074074074073
C2,424编码语义字段,799,2014,0.39672293942403175
C2,424编码语义字段;区域映射补充,0,2,0.0
C2,424编码语义字段;同一航段直接飞向补充,17,183,0.09289617486338798
C2,none,82,135,0.6074074074074074
C3,424编码语义字段,525,2014,0.26067527308838134
C3,424编码语义字段;区域映射补充,1,2,0.5
C3,424编码语义字段;同一航段直接飞向补充,56,183,0.30601092896174864
C3,none,50,135,0.37037037037037035
C4,424编码语义字段,485,2014,0.24081429990069514
C4,424编码语义字段;区域映射补充,1,2,0.5
C4,424编码语义字段;同一航段直接飞向补充,67,183,0.366120218579235
C4,none,76,135,0.562962962962963
D1,424编码语义字段,1307,2014,0.6489572989076465
D1,424编码语义字段;区域映射补充,2,2,1.0
D1,424编码语义字段;同一航段直接飞向补充,168,183,0.9180327868852459
D1,none,60,135,0.4444444444444444
