method,evidence_evidence_bucket,correct,total,accuracy
A1,下方细节区或图中文字证据,171,485,0.3525773195876289
A1,图上证据不足,0,151,0.0
A1,多证据共同支持,0,7,0.0
A1,平面图直接证据,0,165,0.0
A1,文本直接证据,13,71,0.18309859154929578
A1,规则或默认补全,176,1455,0.12096219931271478
A2,下方细节区或图中文字证据,78,485,0.16082474226804125
A2,图上证据不足,0,151,0.0
A2,多证据共同支持,0,7,0.0
A2,平面图直接证据,0,165,0.0
A2,文本直接证据,9,71,0.1267605633802817
A2,规则或默认补全,139,1455,0.09553264604810996
B1,下方细节区或图中文字证据,192,485,0.3958762886597938
B1,图上证据不足,0,151,0.0
B1,多证据共同支持,0,7,0.0
B1,平面图直接证据,2,165,0.012121212121212121
B1,文本直接证据,51,71,0.7183098591549296
B1,规则或默认补全,160,1455,0.10996563573883161
B1_prime,下方细节区或图中文字证据,202,485,0.41649484536082476
B1_prime,图上证据不足,0,151,0.0
B1_prime,多证据共同支持,0,7,0.0
B1_prime,平面图直接证据,1,165,0.006060606060606061
B1_prime,文本直接证据,48,71,0.676056338028169
B1_prime,规则或默认补全,332,1455,0.2281786941580756
B1_prime_link,下方细节区或图中文字证据,172,485,0.354639175257732
B1_prime_link,图上证据不足,0,151,0.0
B1_prime_link,多证据共同支持,0,7,0.0
B1_prime_link,平面图直接证据,0,165,0.0
B1_prime_link,文本直接证据,50,71,0.704225352112676
B1_prime_link,规则或默认补全,52,1455,0.03573883161512027
C1,下方细节区或图中文字证据,252,485,0.5195876288659794
C1,图上证据不足,0,151,0.0
C1,多证据共同支持,0,7,0.0
C1,平面图直接证据,12,165,0.07272727272727272
C1,文本直接证据,39,71,0.5492957746478874
C1,规则或默认补全,285,1455,0.1958762886597938
C2,下方细节区或图中文字证据,331,485,0.6824742268041237
C2,图上证据不足,0,151,0.0
C2,多证据共同支持,1,7,0.14285714285714285
C2,平面图直接证据,16,165,0.09696969696969697
C2,文本直接证据,55,71,0.7746478873239436
C2,规则或默认补全,495,1455,0.3402061855670103
C3,下方细节区或图中文字证据,262,485,0.5402061855670103
C3,图上证据不足,0,151,0.0
C3,多证据共同支持,0,7,0.0
C3,平面图直接证据,11,165,0.06666666666666667
C3,文本直接证据,33,71,0.4647887323943662
C3,规则或默认补全,326,1455,0.22405498281786942
C4,下方细节区或图中文字证据,309,485,0.6371134020618556
C4,图上证据不足,0,151,0.0
C4,多证据共同支持,0,7,0.0
C4,平面图直接证据,6,165,0.03636363636363636
C4,文本直接证据,57,71,0.8028169014084507
C4,规则或默认补全,257,1455,0.1766323024054983
D1,下方细节区或图中文字证据,350,485,0.7216494845360825
D1,图上证据不足,66,151,0.4370860927152318
D1,多证据共同支持,0,7,0.0
D1,平面图直接证据,21,165,0.12727272727272726
D1,文本直接证据,29,71,0.4084507042253521
D1,规则或默认补全,1071,1455,0.7360824742268042
