method,formal_definition,allowed_inputs,forbidden_inputs,model,runner_or_logic,prompt
A1,OCR-1 full-chart text -> deterministic rules -> canonical JSON,chart metadata; OCR-1 PaddleOCR PP-OCRv5 full-chart text,chart image at rule stage; OCR-2; LLM/VLM; field candidates; target; score; CIFP/ARINC 424; human answer,none,scripts/run_group1_formal_manifest.py + docs/group1_a1_a2_rules_candidate_v1.md,
A2,OCR-2 full-chart text -> deterministic rules -> canonical JSON,chart metadata; OCR-2 Tesseract 5.x full-chart text,chart image at rule stage; OCR-1; LLM/VLM; field candidates; target; score; CIFP/ARINC 424; human answer,none,scripts/run_group1_formal_manifest.py + docs/group1_a1_a2_rules_candidate_v1.md,
B1,OCR-1 full-chart text -> LLM -> canonical JSON,chart metadata; OCR-1 PaddleOCR PP-OCRv5 full-chart text; B1 prompt,chart image at LLM stage; OCR bounding boxes; field candidates; target; score; CIFP/ARINC 424; human answer,gpt-5.4,scripts/run_group1_formal_manifest.py,prompts/paper_v2/b1_ocr_to_canonical_pilot10.zh_v1_candidate.md
B1_prime,OCR-1 full-chart text -> deterministic field candidates -> LLM -> canonical JSON,chart metadata; OCR-1 PaddleOCR PP-OCRv5 full-chart text; OCR-only field_candidates; B1_prime prompt,chart image at LLM stage; manual/gold field candidates; field-to-leg links; target; score; CIFP/ARINC 424; human answer,gpt-5.4,scripts/run_group1_formal_manifest.py,prompts/paper_v2/b1_prime_ocr_field_candidates_to_canonical_pilot10.zh_v0_candidate.md
B1_prime_link,OCR-1 full-chart text -> deterministic field candidates -> deterministic field-to-leg links -> LLM -> canonical JSON,chart metadata; OCR-1 PaddleOCR PP-OCRv5 full-chart text; OCR-only field_candidates; OCR-only field_to_leg_links; B1_prime_link prompt,chart image at LLM stage; manual/gold links; target; score; CIFP/ARINC 424; human answer,gpt-5.4,scripts/run_group1_formal_manifest.py + scripts/build_field_to_leg_links.py,prompts/paper_v2/b1_prime_link_ocr_candidates_links_to_canonical.zh_v0_candidate.md
C1,full chart image -> VLM -> canonical JSON,chart metadata; full chart image; C1 prompt,OCR text; field candidates; target; score; CIFP/ARINC 424; human answer,claude-sonnet-4-5-20250929,scripts/run_group1_formal_manifest.py,prompts/paper_v2/c1_image_to_canonical_pilot10.zh_v1_candidate.md
C2,full chart image -> fixed per-field QA prompts -> deterministic aggregator -> canonical JSON,chart metadata; full chart image; prompts/path_c_qa_v2 QA bundle; deterministic aggregator,OCR text; field candidates; target; score; CIFP/ARINC 424; human answer,claude-sonnet-4-5-20250929,scripts/run_group1_formal_manifest.py + scripts/aggregate_c2_qa_candidate.py,prompts/path_c_qa_v2
C3,full chart image -> questionnaire-style VLM extraction -> canonical JSON,chart metadata; full chart image; C3 questionnaire prompt,OCR text; field candidates; target; score; CIFP/ARINC 424; human answer,claude-sonnet-4-5-20250929,scripts/run_group1_formal_manifest.py,prompts/paper_v2/c3_questionnaire_pilot10.zh_v1_candidate.md
C4,full chart image + OCR-1 full-chart text -> VLM -> canonical JSON,chart metadata; full chart image; OCR-1 PaddleOCR PP-OCRv5 full-chart text; C4 prompt,OCR-2; field candidates; target; score; CIFP/ARINC 424; human answer,claude-sonnet-4-5-20250929,scripts/run_group1_formal_manifest.py,prompts/paper_v2/c4_image_ocr_to_canonical_pilot10.zh_v1_candidate.md
D_SFT,full chart image -> SFT VLM checkpoint -> canonical JSON,chart metadata; full chart image; D-SFT frozen prompt; selected D-SFT checkpoint,OCR text; field candidates; target at inference; score; CIFP/ARINC 424; human answer; other method predictions,Qwen/Qwen2-VL-2B-Instruct + QLoRA adapter checkpoint,scripts/d_sft_infer_qwen2vl_lora.py,training/d_sft/prompts/d_sft_image_to_canonical.v2.md
